LEA Code,LEA Name,School Code,School Name,School Type,Ward,Accountability Framework,Framework Weight,Framework Points Earned,Framework Points Possible,Framework STAR Score,Framework STAR Rating,School Year
001,District of Columbia Public Schools,299,Plummer Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,44,100,44,3,2019
001,District of Columbia Public Schools,300,Powell Elementary School,DCPS,4,Elementary School with Pre-Kindergarten,100,62,100,62,4,2019
001,District of Columbia Public Schools,302,Raymond Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,67,59,100,59,3,2019
001,District of Columbia Public Schools,302,Raymond Education Campus,DCPS,4,Middle School,33,75,100,75,4,2019
001,District of Columbia Public Schools,305,Ross Elementary School,DCPS,2,Elementary School with Pre-Kindergarten,100,56,80,70,4,2019
001,District of Columbia Public Schools,307,Savoy Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,38,95,40,3,2019
001,District of Columbia Public Schools,308,Malcolm X Elementary School @ Green,DCPS,8,Elementary School with Pre-Kindergarten,100,40,95,42,3,2019
001,District of Columbia Public Schools,309,Seaton Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,71,100,71,4,2019
001,District of Columbia Public Schools,313,Shepherd Elementary School,DCPS,4,Elementary School with Pre-Kindergarten,100,77,100,77,4,2019
001,District of Columbia Public Schools,315,Simon Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,17,95,18,1,2019
001,District of Columbia Public Schools,316,Randle Highlands Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,46,95,49,3,2019
001,District of Columbia Public Schools,318,Excel Academy,DCPS,8,Elementary School with Pre-Kindergarten,56,30,95,31,2,2019
001,District of Columbia Public Schools,318,Excel Academy,DCPS,8,Middle School,44,57,95,60,3,2019
001,District of Columbia Public Schools,319,Stanton Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,37,95,39,2,2019
001,District of Columbia Public Schools,321,Stoddert Elementary School,DCPS,3,Elementary School with Pre-Kindergarten,100,66,85,78,4,2019
001,District of Columbia Public Schools,322,Smothers Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,15,95,16,1,2019
001,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,53,44,100,44,3,2019
001,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,Middle School,47,46,100,46,3,2019
