,Unnamed: 0_x,School_Code,STAR_Score_18,STAR_Rating_18,STAR_Score_19,STAR_Rating_19,STAR_Score_inc,STAR_Score_inc(%),STAR_Rating_inc,STAR_Rating_inc(%),Unnamed: 0_y,schoolname,level,schtype_raw_DC,Dist_Code,distname,pp_total_raw_DC_1819,pp_site_raw_DC_1819,pp_centshare_raw_DC_1819,schoolstloc_raw_DC_1819,enroll_raw_DC_1819,pp_total_raw_DC_1920,pp_site_raw_DC_1920,pp_centshare_raw_DC_1920,schoolstloc_raw_DC_1920,enroll_raw_DC_1920,pp_total_raw_DC_inc(%),pp_total_raw_DC_inc,pp_site_raw_DC_inc(%),pp_site_raw_DC_inc,pp_centshare_raw_DC_inc(%),pp_centshare_raw_DC_inc,schoolstloc_raw_DC_inc(%),schoolstloc_raw_DC_inc,enroll_raw_DC_inc(%),enroll_raw_DC_inc,diversity_Unnamed: 0,Ward,Total_Count_of_Students,diversity_At-Risk_(%),"diversity_Socieconomic_Diversity_Score,_2018-19_(%)","diversity_Socieconomic_Diversity_Score,_2016-17_(%)","diversity_Change_in_Socieconomic_Diversity_Score,_from_2016-17_to_2018-19_(percentage_points)",diversity_risk_level
11,15,135,53.14,3,36,2,17.14,0.4761111111111111,1,0.5,207,Mary McLeod Bethune Day Academy PCS,3.0,Charter,132,Mary McLeod Bethune Day Academy PCS,21661.0,,,8075389.0,413.0,18839.0,,,7302249.0,423.0,0.1497956367110779,2822.0,,,,,0.1058769702320476,773140.0,-0.0236406619385343,-10.0,143,5,442,48,48,42.53731369972229,5.46268630027771,3
12,16,135,53.14,3,49,3,4.140000000000001,0.0844897959183672,0,0.0,207,Mary McLeod Bethune Day Academy PCS,3.0,Charter,132,Mary McLeod Bethune Day Academy PCS,21661.0,,,8075389.0,413.0,18839.0,,,7302249.0,423.0,0.1497956367110779,2822.0,,,,,0.1058769702320476,773140.0,-0.0236406619385343,-10.0,143,5,442,48,48,42.53731369972229,5.46268630027771,3
13,17,138,50.51,3,29,2,21.51,0.7417241379310344,1,0.5,157,Early Childhood Academy PCS,2.0,Charter,118,Early Childhood Academy PCS,23318.0,,,4674362.0,254.0,23681.0,,,6234945.0,285.0,-0.0153287445631519,-363.0,,,,,-0.2502961934708325,-1560583.0,-0.1087719298245614,-31.0,65,8,261,74,26,28.820961713790894,-2.8209617137908936,4
14,18,142,30.05,2,40,3,-9.95,-0.24875,-1,-0.3333333333333333,10,Bridges PCS,2.0,Charter,107,Bridges PCS,29446.0,,,11299100.0,412.0,28611.0,,,10810776.0,408.0,0.0291845793575897,835.0,,,,,0.0451701154477717,488324.0,0.0098039215686274,4.0,18,5,426,36,36,32.31707215309143,3.682927846908569,2
15,19,146,48.87,3,49,3,-0.1300000000000025,-0.0026530612244898,0,0.0,154,E.L. Haynes PCS - Middle School,3.0,Charter,116,E.L. Haynes PCS,20871.0,18076.0,2795.0,6864156.0,351.0,20374.0,17093.0,3281.0,6716512.0,352.0,0.024393835280259,497.0,0.0575089217808459,983.0,-0.1481255714721121,-486.0,0.021982243164309,147644.0,-0.002840909090909,-1.0,62,1,360,38,38,40.51724076271057,-2.5172407627105717,2
16,21,159,49.75,3,60,3,-10.25,-0.1708333333333332,0,0.0,158,Elsie Whitlow Stokes Community Freedom PCS - Brookland,2.0,Charter,144,Elsie Whitlow Stokes Community Freedom PCS,16482.0,14564.0,1918.0,5216400.0,350.0,21083.0,17704.0,3379.0,7010185.0,355.0,-0.2182326993312147,-4601.0,-0.1773610483506552,-3140.0,-0.4323764427345368,-1461.0,-0.2558826906850532,-1793785.0,-0.0140845070422535,-5.0,69,5,352,11,11,12.857145071029665,-1.857145071029663,1
17,22,161,55.49,3,48,3,7.490000000000002,0.1560416666666666,0,0.0,217,Perry Street Preparatory PCS,3.0,Charter,125,Perry Street Preparatory PCS,23572.0,,,7983718.0,367.0,23972.0,,,8824704.0,402.0,-0.0166861338227932,-400.0,,,,,-0.0952990604557387,-840986.0,-0.0870646766169154,-35.0,162,5,382,54,46,48.69281053543091,-2.692810535430908,3
18,23,161,55.49,3,70,4,-14.509999999999998,-0.2072857142857143,-1,-0.25,217,Perry Street Preparatory PCS,3.0,Charter,125,Perry Street Preparatory PCS,23572.0,,,7983718.0,367.0,23972.0,,,8824704.0,402.0,-0.0166861338227932,-400.0,,,,,-0.0952990604557387,-840986.0,-0.0870646766169154,-35.0,162,5,382,54,46,48.69281053543091,-2.692810535430908,3
19,24,163,27.43,2,43,3,-15.57,-0.3620930232558139,-1,-0.3333333333333333,181,IDEA PCS,4.0,Charter,126,IDEA PCS,25505.0,,,7607001.0,327.0,28450.0,,,7577002.0,289.0,-0.1035149384885764,-2945.0,,,,,0.0039592176430731,29999.0,0.1314878892733564,38.0,100,7,335,69,31,35.49618124961853,-4.49618124961853,4
20,25,165,58.12,3,35,2,23.12,0.6605714285714286,1,0.5,210,Meridian PCS,3.0,Charter,135,Meridian PCS,20487.0,,,12108762.0,642.0,22231.0,,,11977528.0,634.0,-0.0784490126400071,-1744.0,,,,,0.0109566848852284,131234.0,0.0126182965299683,8.0,147,1,672,49,49,44.21965479850769,4.78034520149231,3
21,26,165,58.12,3,47,3,11.119999999999996,0.2365957446808511,0,0.0,210,Meridian PCS,3.0,Charter,135,Meridian PCS,20487.0,,,12108762.0,642.0,22231.0,,,11977528.0,634.0,-0.0784490126400071,-1744.0,,,,,0.0109566848852284,131234.0,0.0126182965299683,8.0,147,1,672,49,49,44.21965479850769,4.78034520149231,3
22,27,170,31.32,2,51,3,-19.68,-0.3858823529411764,-1,-0.3333333333333333,216,Paul PCS - Middle School,3.0,Charter,138,Paul PCS,23945.0,11153.0,12792.0,5997180.0,262.0,19337.0,17337.0,2000.0,5902400.0,320.0,0.2382996328282567,4608.0,-0.3566937763165484,-6184.0,5.396,10792.0,0.0160578747628084,94780.0,-0.18125,-58.0,159,4,267,37,37,34.29751992225647,2.7024800777435303,2
23,28,173,28.42,2,34,2,-5.579999999999998,-0.1641176470588234,0,0.0,221,Roots PCS,2.0,Charter,140,Roots PCS,20026.0,,,1981511.0,109.0,19340.0,,,2172360.0,120.0,0.0354705274043434,686.0,,,,,-0.087853302399234,-190849.0,-0.0916666666666666,-11.0,174,4,112,54,46,41.52542352676392,4.474576473236084,3
24,29,174,38.24,2,55,3,-16.759999999999998,-0.3047272727272727,-1,-0.3333333333333333,222,SEED PCS of Washington DC,4.0,Charter,142,SEED PCS of Washington DC,47671.0,,,13538564.0,284.0,49334.0,,,11692158.0,237.0,-0.0337090039323793,-1663.0,,,,,0.1579183244017057,1846406.0,0.1983122362869198,47.0,181,7,290,62,38,36.01108193397522,1.9889180660247805,4
25,30,174,38.24,2,35,2,3.240000000000002,0.0925714285714285,0,0.0,222,SEED PCS of Washington DC,4.0,Charter,142,SEED PCS of Washington DC,47671.0,,,13538564.0,284.0,49334.0,,,11692158.0,237.0,-0.0337090039323793,-1663.0,,,,,0.1579183244017057,1846406.0,0.1983122362869198,47.0,181,7,290,62,38,36.01108193397522,1.9889180660247805,4
26,31,175,88.55,5,88,5,0.5499999999999972,0.0062499999999998,0,0.0,128,School-Within-School @ Goding,2.0,DCPS,1,District of Columbia Public Schools,20573.0,13698.0,6875.0,5871567.0,313.0,21674.0,15477.0,6198.0,6270894.0,317.0,-0.0507981913813786,-1101.0,-0.1149447567358015,-1779.0,0.1092287834785414,677.0,-0.0636794370946152,-399327.0,-0.0126182965299684,-4.0,179,6,320,5,5,4.234528541564941,0.7654714584350586,1
27,32,182,53.85,3,62,4,-8.149999999999999,-0.1314516129032258,-1,-0.25,14,Capital City PCS - Middle School,3.0,Charter,108,Capital City PCS,25724.0,20910.0,4814.0,8062110.0,335.0,27133.0,22208.0,4925.0,8480178.0,333.0,-0.0519293848818781,-1409.0,-0.0584474063400576,-1298.0,-0.0225380710659898,-111.0,-0.0492994368750279,-418068.0,0.006006006006006,2.0,30,4,337,29,29,29.538458585739136,-0.5384585857391357,2
28,33,184,52.32,3,41,3,11.32,0.2760975609756098,0,0.0,13,Capital City PCS - Lower School,2.0,Charter,108,Capital City PCS,27671.0,22493.0,5178.0,8361824.0,323.0,27133.0,22208.0,4925.0,8225518.0,323.0,0.0198282534183467,538.0,0.0128332132564841,285.0,0.0513705583756345,253.0,0.0165711144270792,136306.0,0.0,0.0,29,4,330,35,35,28.30769419670105,6.69230580329895,2
29,34,186,34.52,2,45,3,-10.479999999999997,-0.2328888888888888,-1,-0.3333333333333333,166,Friendship PCS - Collegiate Academy,4.0,Charter,120,Friendship PCS,23509.0,20596.0,2913.0,11255209.0,553.0,25499.0,22670.0,2829.0,11689588.0,508.0,-0.0780422761676928,-1990.0,-0.0914865460961623,-2074.0,0.0296924708377519,84.0,-0.0371594790167112,-434379.0,0.0885826771653544,45.0,77,7,573,59,41,43.54194402694702,-2.541944026947021,3
30,37,189,50.15,3,54,3,-3.8500000000000014,-0.0712962962962963,0,0.0,193,KIPP DC - KEY Academy PCS,3.0,Charter,129,KIPP DC PCS,19265.0,16837.0,2428.0,5799096.0,337.0,20992.0,17407.0,3586.0,6653410.0,355.0,-0.0822694359756097,-1727.0,-0.0327454472338714,-570.0,-0.3229224762967094,-1158.0,-0.1284024282285324,-854314.0,-0.0507042253521127,-18.0,120,7,341,47,47,44.21365261077881,2.7863473892211914,3
31,38,190,76.58,4,47,3,29.58,0.6293617021276596,1,0.3333333333333332,194,KIPP DC - Lead Academy PCS,2.0,Charter,129,KIPP DC PCS,17266.0,14838.0,2428.0,6083200.0,400.0,20056.0,16471.0,3586.0,7391835.0,411.0,-0.1391104906262464,-2790.0,-0.0991439499726792,-1633.0,-0.3229224762967094,-1158.0,-0.1770379073667093,-1308635.0,-0.0267639902676398,-11.0,121,6,414,47,47,40.909093618392944,6.090906381607056,3
32,39,191,64.93,4,63,4,1.9300000000000068,0.0306349206349207,0,0.0,230,Thurgood Marshall Academy PCS,4.0,Charter,146,Thurgood Marshall Academy PCS,20402.0,,,7310408.0,392.0,21136.0,,,7279580.0,385.0,-0.0347274791824375,-734.0,,,,,0.0042348597034445,30828.0,0.018181818181818,7.0,197,8,398,54,46,43.29897165298462,2.701028347015381,3
33,40,193,67.42,4,72,4,-4.579999999999998,-0.063611111111111,0,0.0,203,Latin American Montessori Bilingual PCS,2.0,Charter,130,Latin American Montessori Bilingual PCS,18933.0,,,8691760.0,476.0,23157.0,,,9406712.0,476.0,-0.1824070475450188,-4224.0,,,,,-0.076004452990588,-714952.0,0.0,0.0,134,4,479,8,8,9.859156608581545,-1.859156608581543,1
34,41,195,16.0,1,32,2,-16.0,-0.5,-1,-0.5,155,Eagle Academy PCS - Congress Heights,2.0,Charter,117,Eagle Academy PCS,26862.0,24059.0,2803.0,15752836.0,682.0,28572.0,25005.0,3567.0,16811865.0,665.0,-0.0598488030239394,-1710.0,-0.0378324335132973,-946.0,-0.2141855901317634,-764.0,-0.0629929517040495,-1059029.0,0.025563909774436,17.0,64,8,708,69,31,34.05994772911072,-3.0599477291107178,4
35,42,196,68.53,4,57,3,11.53,0.2022807017543859,1,0.3333333333333332,32,DC Prep PCS - Edgewood Middle School,3.0,Charter,115,DC Prep PCS,20193.0,16740.0,3453.0,6233442.0,334.0,20413.0,17163.0,3250.0,6492867.0,339.0,-0.0107774457453583,-220.0,-0.0246460409019402,-423.0,0.0624615384615385,203.0,-0.0399553848862144,-259425.0,-0.0147492625368731,-5.0,51,5,336,33,33,34.2424213886261,-1.2424213886260986,2
36,43,196,68.53,4,95,5,-26.47,-0.2786315789473684,-1,-0.1999999999999999,32,DC Prep PCS - Edgewood Middle School,3.0,Charter,115,DC Prep PCS,20193.0,16740.0,3453.0,6233442.0,334.0,20413.0,17163.0,3250.0,6492867.0,339.0,-0.0107774457453583,-220.0,-0.0246460409019402,-423.0,0.0624615384615385,203.0,-0.0399553848862144,-259425.0,-0.0147492625368731,-5.0,51,5,336,33,33,34.2424213886261,-1.2424213886260986,2
37,44,197,63.27,4,66,4,-2.729999999999997,-0.0413636363636362,0,0.0,223,Sela PCS,2.0,Charter,174,Sela PCS,20086.0,,,4365885.0,229.0,20017.0,,,4589401.0,233.0,0.003447069990508,69.0,,,,,-0.0487026520454412,-223516.0,-0.0171673819742489,-4.0,182,4,232,18,18,21.46892547607422,-3.4689254760742188,1
38,45,198,67.34,4,61,4,6.340000000000003,0.1039344262295083,0,0.0,231,Two Rivers PCS - 4th St,3.0,Charter,149,Two Rivers PCS,19593.0,19593.0,0.0,9768000.0,528.0,20775.0,9072.0,11704.0,10393242.0,534.0,-0.0568953068592057,-1182.0,1.1597222222222223,10521.0,-1.0,-11704.0,-0.0601585145424306,-625242.0,-0.0112359550561798,-6.0,201,6,538,22,22,22.77039885520935,-0.7703988552093506,2
39,46,198,67.34,4,71,4,-3.6599999999999966,-0.0515492957746478,0,0.0,231,Two Rivers PCS - 4th St,3.0,Charter,149,Two Rivers PCS,19593.0,19593.0,0.0,9768000.0,528.0,20775.0,9072.0,11704.0,10393242.0,534.0,-0.0568953068592057,-1182.0,1.1597222222222223,10521.0,-1.0,-11704.0,-0.0601585145424306,-625242.0,-0.0112359550561798,-6.0,201,6,538,22,22,22.77039885520935,-0.7703988552093506,2
