,state_x,year_x,distid_stateassigned_x,schoolid_stateassigned,distname_x,schoolname_x,ncesdistid_admin_x,ncesdistid_geo_x,census_id_x,ncesid_x,ncesenroll_x,gradespan_x,level_x,enroll_raw_DC_x,enrollmetric_x,pp_stloc_raw_DC_x,pp_fed_raw_DC_x,pp_total_raw_DC_x,pp_site_stloc_raw_DC_x,pp_site_fed_raw_DC_x,pp_site_raw_DC_x,pp_centshare_stloc_raw_DC_x,pp_centshare_fed_raw_DC_x,pp_centshare_raw_DC_x,schoolstloc_raw_DC_x,schoolfed_raw_DC_x,schooltot_raw_DC_x,pp_total_norm_NERDS_x,disttotwexclu_raw_DC_x,distexclu_raw_DC_x,schtype_raw_DC_x,ward_raw_DC_x,countenroll_x,noaudit_x,nositecen_x,adfinvars_x,distflex_x,flag_nerds_x,flag_f33_x,state_y,year_y,distid_stateassigned_y,distname_y,schoolname_y,ncesdistid_admin_y,ncesdistid_geo_y,census_id_y,ncesid_y,ncesenroll_y,gradespan_y,level_y,enroll_raw_DC_y,enrollmetric_y,pp_stloc_raw_DC_y,pp_fed_raw_DC_y,pp_total_raw_DC_y,pp_site_stloc_raw_DC_y,pp_site_fed_raw_DC_y,pp_site_raw_DC_y,pp_centshare_stloc_raw_DC_y,pp_centshare_fed_raw_DC_y,pp_centshare_raw_DC_y,schoolstloc_raw_DC_y,schoolfed_raw_DC_y,schooltot_raw_DC_y,pp_total_norm_NERDS_y,disttotwexclu_raw_DC_y,distexclu_raw_DC_y,schtype_raw_DC_y,ward_raw_DC_y,countenroll_y,noaudit_y,nositecen_y,adfinvars_y,distflex_y,flag_nerds_y,flag_f33_y
99,DC,2018-2019,1,884,District of Columbia Public Schools,Luke C. Moore High School,1100030.0,1100030.0,9200100130100.0,110003000198.0,288.0,09-12,4.0,288,October Count Day,17103,2506,19609,11726,1009,12734,5377,1498,6875,4925664,721728,5647418,21702.95544,1004073502,4214636,DCPS (Alternative),5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Luke C. Moore High School,1100030.0,1100030.0,9200100130100.0,110003000198.0,288.0,09-12,4.0,288,October Count Day,17103,2506,19609,11726,1009,12734,5377,1498,6875,4925664,721728,5647418,21702.95544,1004073502,4214636,DCPS (Alternative),5,1,0,0,0,1,0,0
100,DC,2018-2019,1,420,District of Columbia Public Schools,MacFarland Middle School,1100030.0,1100030.0,9200100130100.0,110003000511.0,354.0,06-08,3.0,354,October Count Day,17977,1948,19925,12599,451,13050,5377,1498,6875,6363858,689592,7053494,22018.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,MacFarland Middle School,1100030.0,1100030.0,9200100130100.0,110003000511.0,354.0,06-08,3.0,354,October Count Day,17977,1948,19925,12599,451,13050,5377,1498,6875,6363858,689592,7053494,22018.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
101,DC,2018-2019,1,308,District of Columbia Public Schools,Malcolm X Elementary School @ Green,1100030.0,1100030.0,9200100130100.0,110003000036.0,242.0,PK-05,2.0,242,October Count Day,18209,2403,20612,12832,905,13737,5377,1498,6875,4406578,581526,4988117,22705.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Malcolm X Elementary School @ Green,1100030.0,1100030.0,9200100130100.0,110003000036.0,242.0,PK-05,2.0,242,October Count Day,18209,2403,20612,12832,905,13737,5377,1498,6875,4406578,581526,4988117,22705.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0
102,DC,2018-2019,1,273,District of Columbia Public Schools,Mann Elementary School,1100030.0,1100030.0,9200100130100.0,110003000035.0,397.0,PK-05,2.0,397,October Count Day,15453,1765,17218,10075,267,10343,5377,1498,6875,6134841,700705,6835406,19311.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Mann Elementary School,1100030.0,1100030.0,9200100130100.0,110003000035.0,397.0,PK-05,2.0,397,October Count Day,15453,1765,17218,10075,267,10343,5377,1498,6875,6134841,700705,6835406,19311.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0
103,DC,2018-2019,1,284,District of Columbia Public Schools,Marie Reed Elementary School,1100030.0,1100030.0,9200100130100.0,110003000032.0,437.0,PK-05,2.0,437,October Count Day,20498,2332,22831,15121,835,15956,5377,1498,6875,8957626,1019084,9976954,24924.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Marie Reed Elementary School,1100030.0,1100030.0,9200100130100.0,110003000032.0,437.0,PK-05,2.0,437,October Count Day,20498,2332,22831,15121,835,15956,5377,1498,6875,8957626,1019084,9976954,24924.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0
104,DC,2018-2019,1,274,District of Columbia Public Schools,Maury Elementary School,1100030.0,1100030.0,9200100130100.0,110003000034.0,407.0,PK-05,2.0,407,October Count Day,15490,1765,17255,10113,267,10380,5377,1498,6875,6304430,718355,7022612,19348.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Maury Elementary School,1100030.0,1100030.0,9200100130100.0,110003000034.0,407.0,PK-05,2.0,407,October Count Day,15490,1765,17255,10113,267,10380,5377,1498,6875,6304430,718355,7022612,19348.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
105,DC,2018-2019,1,435,District of Columbia Public Schools,McKinley Middle School,1100030.0,1100030.0,9200100130100.0,110003000470.0,231.0,06-08,3.0,231,October Count Day,22112,2262,24374,16734,765,17499,5377,1498,6875,5107872,522522,5630421,26467.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,McKinley Middle School,1100030.0,1100030.0,9200100130100.0,110003000470.0,231.0,06-08,3.0,231,October Count Day,22112,2262,24374,16734,765,17499,5377,1498,6875,5107872,522522,5630421,26467.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0
106,DC,2018-2019,1,458,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0
107,DC,2018-2019,1,280,District of Columbia Public Schools,Miner Elementary School,1100030.0,1100030.0,9200100130100.0,110003000004.0,361.0,PK-05,2.0,361,October Count Day,19252,2259,21511,13874,761,14636,5377,1498,6875,6949972,815499,7765316,23604.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Miner Elementary School,1100030.0,1100030.0,9200100130100.0,110003000004.0,361.0,PK-05,2.0,361,October Count Day,19252,2259,21511,13874,761,14636,5377,1498,6875,6949972,815499,7765316,23604.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
108,DC,2018-2019,1,285,District of Columbia Public Schools,Moten Elementary School,1100030.0,1100030.0,9200100130100.0,110003000002.0,323.0,PK-05,2.0,323,October Count Day,18636,2669,21305,13259,1172,14430,5377,1498,6875,6019428,862087,6881627,23398.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Moten Elementary School,1100030.0,1100030.0,9200100130100.0,110003000002.0,323.0,PK-05,2.0,323,October Count Day,18636,2669,21305,13259,1172,14430,5377,1498,6875,6019428,862087,6881627,23398.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0
