,state_x,year_x,distid_stateassigned_x,schoolid_stateassigned,distname_x,schoolname_x,ncesdistid_admin_x,ncesdistid_geo_x,census_id_x,ncesid_x,ncesenroll_x,gradespan_x,level_x,enroll_raw_DC_x,enrollmetric_x,pp_stloc_raw_DC_x,pp_fed_raw_DC_x,pp_total_raw_DC_x,pp_site_stloc_raw_DC_x,pp_site_fed_raw_DC_x,pp_site_raw_DC_x,pp_centshare_stloc_raw_DC_x,pp_centshare_fed_raw_DC_x,pp_centshare_raw_DC_x,schoolstloc_raw_DC_x,schoolfed_raw_DC_x,schooltot_raw_DC_x,pp_total_norm_NERDS_x,disttotwexclu_raw_DC_x,distexclu_raw_DC_x,schtype_raw_DC_x,ward_raw_DC_x,countenroll_x,noaudit_x,nositecen_x,adfinvars_x,distflex_x,flag_nerds_x,flag_f33_x,state_y,year_y,distid_stateassigned_y,distname_y,schoolname_y,ncesdistid_admin_y,ncesdistid_geo_y,census_id_y,ncesid_y,ncesenroll_y,gradespan_y,level_y,enroll_raw_DC_y,enrollmetric_y,pp_stloc_raw_DC_y,pp_fed_raw_DC_y,pp_total_raw_DC_y,pp_site_stloc_raw_DC_y,pp_site_fed_raw_DC_y,pp_site_raw_DC_y,pp_centshare_stloc_raw_DC_y,pp_centshare_fed_raw_DC_y,pp_centshare_raw_DC_y,schoolstloc_raw_DC_y,schoolfed_raw_DC_y,schooltot_raw_DC_y,pp_total_norm_NERDS_y,disttotwexclu_raw_DC_y,distexclu_raw_DC_y,schtype_raw_DC_y,ward_raw_DC_y,countenroll_y,noaudit_y,nositecen_y,adfinvars_y,distflex_y,flag_nerds_y,flag_f33_y
119,DC,2018-2019,1,316,District of Columbia Public Schools,Randle Highlands Elementary School,1100030.0,1100030.0,9200100130100.0,110003000029.0,329.0,PK-05,2.0,329,October Count Day,17944,2462,20405,12566,964,13530,5377,1498,6875,5903576,809998,6713280,22498.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Randle Highlands Elementary School,1100030.0,1100030.0,9200100130100.0,110003000029.0,329.0,PK-05,2.0,329,October Count Day,17944,2462,20405,12566,964,13530,5377,1498,6875,5903576,809998,6713280,22498.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
120,DC,2018-2019,1,302,District of Columbia Public Schools,Raymond Education Campus,1100030.0,1100030.0,9200100130100.0,110003000033.0,558.0,PK-08,3.0,558,October Count Day,19706,2297,22003,14328,800,15128,5377,1498,6875,10995948,1281726,12277623,24096.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Raymond Education Campus,1100030.0,1100030.0,9200100130100.0,110003000033.0,558.0,PK-08,3.0,558,October Count Day,19706,2297,22003,14328,800,15128,5377,1498,6875,10995948,1281726,12277623,24096.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
121,DC,2018-2019,1,304,District of Columbia Public Schools,River Terrace Education Campus,1100030.0,1100030.0,9200100130100.0,110003000506.0,131.0,03-12,4.0,131,October Count Day,41607,2735,44342,36229,1237,37467,5377,1498,6875,5450517,358285,5808795,46435.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,River Terrace Education Campus,1100030.0,1100030.0,9200100130100.0,110003000506.0,131.0,03-12,4.0,131,October Count Day,41607,2735,44342,36229,1237,37467,5377,1498,6875,5450517,358285,5808795,46435.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
122,DC,2018-2019,1,436,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
123,DC,2018-2019,1,459,District of Columbia Public Schools,Roosevelt High School,1100030.0,1100030.0,9200100130100.0,110003000008.0,645.0,09-12,4.0,645,October Count Day,21281,2608,23889,15904,1110,17014,5377,1498,6875,13726245,1682160,15408331,25982.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Roosevelt High School,1100030.0,1100030.0,9200100130100.0,110003000008.0,645.0,09-12,4.0,645,October Count Day,21281,2608,23889,15904,1110,17014,5377,1498,6875,13726245,1682160,15408331,25982.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
124,DC,2018-2019,1,456,District of Columbia Public Schools,Roosevelt STAY High School,1100030.0,1100030.0,9200100130100.0,110003000264.0,426.0,09-12,4.0,648,October Count Day,12553,1690,14242,7175,192,7367,5377,1498,6875,8134344,1095120,9229129,16335.95544,1004073502,4214636,DCPS (Alternative),4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Roosevelt STAY High School,1100030.0,1100030.0,9200100130100.0,110003000264.0,426.0,09-12,4.0,648,October Count Day,12553,1690,14242,7175,192,7367,5377,1498,6875,8134344,1095120,9229129,16335.95544,1004073502,4214636,DCPS (Alternative),4,1,0,0,0,1,0,0
125,DC,2018-2019,1,305,District of Columbia Public Schools,Ross Elementary School,1100030.0,1100030.0,9200100130100.0,110003000027.0,190.0,PK-05,2.0,190,October Count Day,17973,2023,19996,12595,526,13121,5377,1498,6875,3414870,384370,3799223,22089.95544,1004073502,4214636,DCPS,2,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Ross Elementary School,1100030.0,1100030.0,9200100130100.0,110003000027.0,190.0,PK-05,2.0,190,October Count Day,17973,2023,19996,12595,526,13121,5377,1498,6875,3414870,384370,3799223,22089.95544,1004073502,4214636,DCPS,2,1,0,0,0,1,0,0
126,DC,2018-2019,1,307,District of Columbia Public Schools,Savoy Elementary School,1100030.0,1100030.0,9200100130100.0,110003000025.0,271.0,PK-05,2.0,271,October Count Day,20454,2354,22808,15076,857,15933,5377,1498,6875,5543034,637934,6181027,24901.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Savoy Elementary School,1100030.0,1100030.0,9200100130100.0,110003000025.0,271.0,PK-05,2.0,271,October Count Day,20454,2354,22808,15076,857,15933,5377,1498,6875,5543034,637934,6181027,24901.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0
127,DC,2018-2019,1,409,District of Columbia Public Schools,School Without Walls @ Francis-Stevens,1100030.0,1100030.0,9200100130100.0,110003000149.0,472.0,PK-08,3.0,472,October Count Day,18373,1724,20096,12995,226,13221,5377,1498,6875,8672056,813728,9485388,22189.95544,1004073502,4214636,DCPS,2,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,School Without Walls @ Francis-Stevens,1100030.0,1100030.0,9200100130100.0,110003000149.0,472.0,PK-08,3.0,472,October Count Day,18373,1724,20096,12995,226,13221,5377,1498,6875,8672056,813728,9485388,22189.95544,1004073502,4214636,DCPS,2,1,0,0,0,1,0,0
128,DC,2018-2019,1,466,District of Columbia Public Schools,School Without Walls High School,1100030.0,1100030.0,9200100130100.0,110003000131.0,592.0,09-12,4.0,592,October Count Day,14493,2400,16893,9116,903,10018,5377,1498,6875,8579856,1420800,10000738,18986.95544,1004073502,4214636,DCPS,2,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,School Without Walls High School,1100030.0,1100030.0,9200100130100.0,110003000131.0,592.0,09-12,4.0,592,October Count Day,14493,2400,16893,9116,903,10018,5377,1498,6875,8579856,1420800,10000738,18986.95544,1004073502,4214636,DCPS,2,1,0,0,0,1,0,0
129,DC,2018-2019,1,175,District of Columbia Public Schools,School-Within-School @ Goding,1100030.0,1100030.0,9200100130100.0,110003000466.0,313.0,PK-05,2.0,313,October Count Day,18759,1814,20573,13382,316,13698,5377,1498,6875,5871567,567782,6439358,22666.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,School-Within-School @ Goding,1100030.0,1100030.0,9200100130100.0,110003000466.0,313.0,PK-05,2.0,313,October Count Day,18759,1814,20573,13382,316,13698,5377,1498,6875,5871567,567782,6439358,22666.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
130,DC,2018-2019,1,309,District of Columbia Public Schools,Seaton Elementary School,1100030.0,1100030.0,9200100130100.0,110003000024.0,390.0,PK-05,2.0,390,October Count Day,20364,2260,22624,14987,762,15749,5377,1498,6875,7941960,881400,8823260,24717.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Seaton Elementary School,1100030.0,1100030.0,9200100130100.0,110003000024.0,390.0,PK-05,2.0,390,October Count Day,20364,2260,22624,14987,762,15749,5377,1498,6875,7941960,881400,8823260,24717.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
131,DC,2018-2019,1,313,District of Columbia Public Schools,Shepherd Elementary School,1100030.0,1100030.0,9200100130100.0,110003000030.0,379.0,PK-05,2.0,379,October Count Day,14965,1766,16732,9588,269,9857,5377,1498,6875,5671735,669314,6341364,18825.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Shepherd Elementary School,1100030.0,1100030.0,9200100130100.0,110003000030.0,379.0,PK-05,2.0,379,October Count Day,14965,1766,16732,9588,269,9857,5377,1498,6875,5671735,669314,6341364,18825.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
132,DC,2018-2019,1,315,District of Columbia Public Schools,Simon Elementary School,1100030.0,1100030.0,9200100130100.0,110003000054.0,241.0,PK-05,2.0,241,October Count Day,20035,2440,22475,14657,942,15600,5377,1498,6875,4828435,588040,5416391,24568.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Simon Elementary School,1100030.0,1100030.0,9200100130100.0,110003000054.0,241.0,PK-05,2.0,241,October Count Day,20035,2440,22475,14657,942,15600,5377,1498,6875,4828435,588040,5416391,24568.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0
133,DC,2018-2019,1,322,District of Columbia Public Schools,Smothers Elementary School,1100030.0,1100030.0,9200100130100.0,110003000064.0,249.0,PK-05,2.0,249,October Count Day,20006,2728,22734,14628,1231,15859,5377,1498,6875,4981494,679272,5660760,24827.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Smothers Elementary School,1100030.0,1100030.0,9200100130100.0,110003000064.0,249.0,PK-05,2.0,249,October Count Day,20006,2728,22734,14628,1231,15859,5377,1498,6875,4981494,679272,5660760,24827.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
134,DC,2018-2019,1,427,District of Columbia Public Schools,Sousa Middle School,1100030.0,1100030.0,9200100130100.0,110003000019.0,242.0,06-08,3.0,242,October Count Day,20334,2604,22939,14957,1107,16064,5377,1498,6875,4920828,630168,5551126,25032.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Sousa Middle School,1100030.0,1100030.0,9200100130100.0,110003000019.0,242.0,06-08,3.0,242,October Count Day,20334,2604,22939,14957,1107,16064,5377,1498,6875,4920828,630168,5551126,25032.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
135,DC,2018-2019,1,319,District of Columbia Public Schools,Stanton Elementary School,1100030.0,1100030.0,9200100130100.0,110003000013.0,473.0,PK-05,2.0,473,October Count Day,16804,2265,19070,11427,768,12195,5377,1498,6875,7948292,1071345,9019923,21163.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Stanton Elementary School,1100030.0,1100030.0,9200100130100.0,110003000013.0,473.0,PK-05,2.0,473,October Count Day,16804,2265,19070,11427,768,12195,5377,1498,6875,7948292,1071345,9019923,21163.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0
136,DC,2018-2019,1,321,District of Columbia Public Schools,Stoddert Elementary School,1100030.0,1100030.0,9200100130100.0,110003000050.0,463.0,PK-05,2.0,463,October Count Day,16645,1722,18367,11267,224,11492,5377,1498,6875,7706635,797286,8503743,20460.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Stoddert Elementary School,1100030.0,1100030.0,9200100130100.0,110003000050.0,463.0,PK-05,2.0,463,October Count Day,16645,1722,18367,11267,224,11492,5377,1498,6875,7706635,797286,8503743,20460.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0
137,DC,2018-2019,1,428,District of Columbia Public Schools,Stuart-Hobson Middle School (Capitol Hill Cluster),1100030.0,1100030.0,9200100130100.0,110003000191.0,454.0,06-08,3.0,454,October Count Day,16202,2363,18565,10824,866,11690,5377,1498,6875,7355708,1072802,8428537,20658.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Stuart-Hobson Middle School (Capitol Hill Cluster),1100030.0,1100030.0,9200100130100.0,110003000191.0,454.0,06-08,3.0,454,October Count Day,16202,2363,18565,10824,866,11690,5377,1498,6875,7355708,1072802,8428537,20658.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
138,DC,2018-2019,1,324,District of Columbia Public Schools,Takoma Education Campus,1100030.0,1100030.0,9200100130100.0,110003000011.0,508.0,PK-08,3.0,508,October Count Day,18520,2257,20777,13143,760,13903,5377,1498,6875,9408160,1146556,10554966,22870.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Takoma Education Campus,1100030.0,1100030.0,9200100130100.0,110003000011.0,508.0,PK-08,3.0,508,October Count Day,18520,2257,20777,13143,760,13903,5377,1498,6875,9408160,1146556,10554966,22870.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
139,DC,2018-2019,1,325,District of Columbia Public Schools,Thomas Elementary School,1100030.0,1100030.0,9200100130100.0,110003000049.0,355.0,PK-05,2.0,355,October Count Day,20084,2398,22482,14706,901,15607,5377,1498,6875,7129820,851290,7981043,24575.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Thomas Elementary School,1100030.0,1100030.0,9200100130100.0,110003000049.0,355.0,PK-05,2.0,355,October Count Day,20084,2398,22482,14706,901,15607,5377,1498,6875,7129820,851290,7981043,24575.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
140,DC,2018-2019,1,326,District of Columbia Public Schools,Thomson Elementary School,1100030.0,1100030.0,9200100130100.0,110003000076.0,331.0,PK-05,2.0,331,October Count Day,18614,2351,20965,13236,853,14090,5377,1498,6875,6161234,778181,6939296,23058.95544,1004073502,4214636,DCPS,2,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Thomson Elementary School,1100030.0,1100030.0,9200100130100.0,110003000076.0,331.0,PK-05,2.0,331,October Count Day,18614,2351,20965,13236,853,14090,5377,1498,6875,6161234,778181,6939296,23058.95544,1004073502,4214636,DCPS,2,1,0,0,0,1,0,0
141,DC,2018-2019,1,327,District of Columbia Public Schools,Truesdell Education Campus,1100030.0,1100030.0,9200100130100.0,110003000075.0,609.0,PK-08,3.0,609,October Count Day,17539,2407,19946,12161,910,13071,5377,1498,6875,10681251,1465863,12146919,22039.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Truesdell Education Campus,1100030.0,1100030.0,9200100130100.0,110003000075.0,609.0,PK-08,3.0,609,October Count Day,17539,2407,19946,12161,910,13071,5377,1498,6875,10681251,1465863,12146919,22039.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
142,DC,2018-2019,1,328,District of Columbia Public Schools,Tubman Elementary School,1100030.0,1100030.0,9200100130100.0,110003000074.0,548.0,PK-05,2.0,548,October Count Day,18421,2311,20733,13044,814,13858,5377,1498,6875,10094708,1266428,11361554,22826.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Tubman Elementary School,1100030.0,1100030.0,9200100130100.0,110003000074.0,548.0,PK-05,2.0,548,October Count Day,18421,2311,20733,13044,814,13858,5377,1498,6875,10094708,1266428,11361554,22826.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0
143,DC,2018-2019,1,329,District of Columbia Public Schools,Turner Elementary School,1100030.0,1100030.0,9200100130100.0,110003000073.0,497.0,PK-05,2.0,497,October Count Day,17145,2230,19375,11768,733,12500,5377,1498,6875,8521065,1108310,9629509,21468.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Turner Elementary School,1100030.0,1100030.0,9200100130100.0,110003000073.0,497.0,PK-05,2.0,497,October Count Day,17145,2230,19375,11768,733,12500,5377,1498,6875,8521065,1108310,9629509,21468.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0
144,DC,2018-2019,1,330,District of Columbia Public Schools,Tyler Elementary School,1100030.0,1100030.0,9200100130100.0,110003000072.0,512.0,PK-05,2.0,512,October Count Day,17457,2201,19659,12080,704,12784,5377,1498,6875,8937984,1126912,10065190,21752.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Tyler Elementary School,1100030.0,1100030.0,9200100130100.0,110003000072.0,512.0,PK-05,2.0,512,October Count Day,17457,2201,19659,12080,704,12784,5377,1498,6875,8937984,1126912,10065190,21752.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
145,DC,2018-2019,1,331,District of Columbia Public Schools,Van Ness Elementary School,1100030.0,1100030.0,9200100130100.0,110003000505.0,270.0,PK-04,2.0,270,October Count Day,17388,1890,19277,12010,392,12402,5377,1498,6875,4694760,510300,5204892,21370.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Van Ness Elementary School,1100030.0,1100030.0,9200100130100.0,110003000505.0,270.0,PK-04,2.0,270,October Count Day,17388,1890,19277,12010,392,12402,5377,1498,6875,4694760,510300,5204892,21370.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
146,DC,2018-2019,1,332,District of Columbia Public Schools,Walker-Jones Education Campus,1100030.0,1100030.0,9200100130100.0,110003000070.0,384.0,PK-08,3.0,384,October Count Day,19675,2290,21965,14297,792,15090,5377,1498,6875,7555200,879360,8434445,24058.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Walker-Jones Education Campus,1100030.0,1100030.0,9200100130100.0,110003000070.0,384.0,PK-08,3.0,384,October Count Day,19675,2290,21965,14297,792,15090,5377,1498,6875,7555200,879360,8434445,24058.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
147,DC,2018-2019,1,474,District of Columbia Public Schools,Washington Metropolitan High School,1100030.0,1100030.0,9200100130100.0,110003000397.0,136.0,07-12,4.0,136,October Count Day,35602,3631,39233,30225,2133,32358,5377,1498,6875,4841872,493816,5335667,41326.95544,1004073502,4214636,DCPS (Alternative),1,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Washington Metropolitan High School,1100030.0,1100030.0,9200100130100.0,110003000397.0,136.0,07-12,4.0,136,October Count Day,35602,3631,39233,30225,2133,32358,5377,1498,6875,4841872,493816,5335667,41326.95544,1004073502,4214636,DCPS (Alternative),1,1,0,0,0,1,0,0
148,DC,2018-2019,1,333,District of Columbia Public Schools,Watkins Elementary School (Capitol Hill Cluster),1100030.0,1100030.0,9200100130100.0,110003000048.0,444.0,01-05,2.0,444,October Count Day,14055,1773,15828,8677,275,8953,5377,1498,6875,6240420,787212,7027415,17921.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Watkins Elementary School (Capitol Hill Cluster),1100030.0,1100030.0,9200100130100.0,110003000048.0,444.0,01-05,2.0,444,October Count Day,14055,1773,15828,8677,275,8953,5377,1498,6875,6240420,787212,7027415,17921.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
149,DC,2018-2019,1,336,District of Columbia Public Schools,West Education Campus,1100030.0,1100030.0,9200100130100.0,110003000067.0,336.0,PK-08,3.0,336,October Count Day,18121,2324,20445,12743,826,13570,5377,1498,6875,6088656,780864,6869366,22538.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,West Education Campus,1100030.0,1100030.0,9200100130100.0,110003000067.0,336.0,PK-08,3.0,336,October Count Day,18121,2324,20445,12743,826,13570,5377,1498,6875,6088656,780864,6869366,22538.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
150,DC,2018-2019,1,335,District of Columbia Public Schools,Wheatley Education Campus,1100030.0,1100030.0,9200100130100.0,110003000068.0,312.0,PK-08,3.0,312,October Count Day,19539,2374,21913,14162,876,15038,5377,1498,6875,6096168,740688,6836779,24006.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Wheatley Education Campus,1100030.0,1100030.0,9200100130100.0,110003000068.0,312.0,PK-08,3.0,312,October Count Day,19539,2374,21913,14162,876,15038,5377,1498,6875,6096168,740688,6836779,24006.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0
151,DC,2018-2019,1,338,District of Columbia Public Schools,Whittier Education Campus,1100030.0,1100030.0,9200100130100.0,110003000065.0,351.0,PK-08,3.0,351,October Count Day,20806,2154,22960,15428,657,16085,5377,1498,6875,7302906,756054,8059046,25053.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Whittier Education Campus,1100030.0,1100030.0,9200100130100.0,110003000065.0,351.0,PK-08,3.0,351,October Count Day,20806,2154,22960,15428,657,16085,5377,1498,6875,7302906,756054,8059046,25053.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
152,DC,2018-2019,1,463,District of Columbia Public Schools,Woodrow Wilson High School,1100030.0,1100030.0,9200100130100.0,110003000133.0,1796.0,09-12,4.0,1796,October Count Day,14619,1900,16519,9241,402,9644,5377,1498,6875,26255724,3412400,29667606,18612.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Woodrow Wilson High School,1100030.0,1100030.0,9200100130100.0,110003000133.0,1796.0,09-12,4.0,1796,October Count Day,14619,1900,16519,9241,402,9644,5377,1498,6875,26255724,3412400,29667606,18612.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0
153,DC,2018-2019,4002,860,DYRS,Maya Angelou Academy at New Beginnings formerly Oak Hill,1100087.0,1100087.0,,110008700213.0,33.0,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,1,0,0,0,1,1,1,DC,2018-2019,4002,DYRS,Maya Angelou Academy at New Beginnings formerly Oak Hill,1100087.0,1100087.0,,110008700213.0,33.0,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,1,0,0,0,1,1,1
154,DC,2018-2019,116,1206,E.L. Haynes PCS,E.L. Haynes PCS - Elementary School,1100043.0,1100043.0,,110004300472.0,350.0,PK-04,2.0,350,October Count Day,20911,1405,22317,17937,1391,19328,2974,14,2988,7318850,491750,7810785,23552.83421,28827994,3505260,Charter,4,1,0,0,0,1,0,0,DC,2018-2019,116,E.L. Haynes PCS,E.L. Haynes PCS - Elementary School,1100043.0,1100043.0,,110004300472.0,350.0,PK-04,2.0,350,October Count Day,20911,1405,22317,17937,1391,19328,2974,14,2988,7318850,491750,7810785,23552.83421,28827994,3505260,Charter,4,1,0,0,0,1,0,0
155,DC,2018-2019,116,1138,E.L. Haynes PCS,E.L. Haynes PCS - High School,1100043.0,1100043.0,,110004300433.0,436.0,09-12,4.0,436,October Count Day,21892,1471,23363,18779,1456,20235,3113,15,3128,9544912,641356,10186366,24598.83421,28827994,3505260,Charter,4,1,0,0,0,1,0,0,DC,2018-2019,116,E.L. Haynes PCS,E.L. Haynes PCS - High School,1100043.0,1100043.0,,110004300433.0,436.0,09-12,4.0,436,October Count Day,21892,1471,23363,18779,1456,20235,3113,15,3128,9544912,641356,10186366,24598.83421,28827994,3505260,Charter,4,1,0,0,0,1,0,0
156,DC,2018-2019,116,146,E.L. Haynes PCS,E.L. Haynes PCS - Middle School,1100043.0,1100043.0,,110004300274.0,351.0,05-08,3.0,351,October Count Day,19556,1314,20871,16775,1301,18076,2781,13,2795,6864156,461214,7325583,22106.83421,28827994,3505260,Charter,1,1,0,0,0,1,0,0,DC,2018-2019,116,E.L. Haynes PCS,E.L. Haynes PCS - Middle School,1100043.0,1100043.0,,110004300274.0,351.0,05-08,3.0,351,October Count Day,19556,1314,20871,16775,1301,18076,2781,13,2795,6864156,461214,7325583,22106.83421,28827994,3505260,Charter,1,1,0,0,0,1,0,0
157,DC,2018-2019,117,195,Eagle Academy PCS,Eagle Academy PCS - Congress Heights,1100049.0,1100049.0,,110004900278.0,682.0,PK-03,2.0,682,October Count Day,23098,3764,26862,20296,3764,24059,2803,0,2803,15752836,2567048,18319884,25894.98807,26805369,4295013,Charter,8,1,0,0,0,1,0,0,DC,2018-2019,117,Eagle Academy PCS,Eagle Academy PCS - Congress Heights,1100049.0,1100049.0,,110004900278.0,682.0,PK-03,2.0,682,October Count Day,23098,3764,26862,20296,3764,24059,2803,0,2803,15752836,2567048,18319884,25894.98807,26805369,4295013,Charter,8,1,0,0,0,1,0,0
158,DC,2018-2019,117,1125,Eagle Academy PCS,Eagle Academy PCS - Fairlawn,1100049.0,1100049.0,,110004900434.0,156.0,PK-03,2.0,156,October Count Day,22937,3925,26862,20135,3925,24059,2803,0,2803,3578172,612300,4190472,25894.98807,26805369,4295013,Charter,8,1,0,0,0,1,0,0,DC,2018-2019,117,Eagle Academy PCS,Eagle Academy PCS - Fairlawn,1100049.0,1100049.0,,110004900434.0,156.0,PK-03,2.0,156,October Count Day,22937,3925,26862,20135,3925,24059,2803,0,2803,3578172,612300,4190472,25894.98807,26805369,4295013,Charter,8,1,0,0,0,1,0,0
159,DC,2018-2019,118,138,Early Childhood Academy PCS,Early Childhood Academy PCS,1100057.0,1100057.0,,110005700431.0,254.0,PK-03,2.0,254,October Count Day,18403,4915,23318,,,,,,,4674362,1248410,5922647,,7203286,1280639,Charter,8,1,0,0,0,1,1,1,DC,2018-2019,118,Early Childhood Academy PCS,Early Childhood Academy PCS,1100057.0,1100057.0,,110005700431.0,254.0,PK-03,2.0,254,October Count Day,18403,4915,23318,,,,,,,4674362,1248410,5922647,,7203286,1280639,Charter,8,1,0,0,0,1,1,1
