,School_Code,STAR_Score_18,STAR_Rating_18,STAR_Score_19,STAR_Rating_19,STAR_Score_inc,STAR_Score_change,STAR_Rating_change
89,257,49.0,3,42,3,0,0.16666666666666674,0.0
90,258,75.17,4,67,4,0,0.12194029850746269,0.0
91,259,27.81,2,60,4,-2,-0.5365,-0.5
92,260,30.31,2,28,2,0,0.08250000000000002,0.0
93,261,73.92,4,82,5,-1,-0.09853658536585364,-0.19999999999999996
94,262,72.65,4,66,4,0,0.10075757575757582,0.0
95,263,34.6,2,56,3,-1,-0.3821428571428571,-0.33333333333333337
96,264,55.23,3,64,4,-1,-0.13703125000000005,-0.25
97,264,55.23,3,64,4,-1,-0.13703125000000005,-0.25
98,266,33.85,2,23,2,0,0.47173913043478266,0.0
99,266,33.85,2,50,3,-1,-0.32299999999999995,-0.33333333333333337
100,267,25.94,2,34,2,0,-0.23705882352941177,0.0
101,268,57.05,3,40,3,0,0.42625,0.0
102,268,57.05,3,69,4,-1,-0.17318840579710149,-0.25
103,269,24.08,2,34,2,0,-0.29176470588235304,0.0
104,270,44.8,3,43,3,0,0.041860465116279055,0.0
105,271,77.61,4,52,3,1,0.49249999999999994,0.33333333333333326
106,272,76.61,4,77,4,0,-0.0050649350649351055,0.0
107,273,87.12,5,86,5,0,0.013023255813953583,0.0
108,274,94.38,5,83,5,0,0.13710843373493975,0.0
109,280,45.31,3,25,2,1,0.8124,0.5
110,283,84.93,5,63,4,1,0.34809523809523824,0.25
111,284,83.7,5,68,4,1,0.23088235294117654,0.25
112,285,13.63,1,20,1,0,-0.3185,0.0
113,286,45.39,3,51,3,0,-0.10999999999999999,0.0
114,287,79.07,4,92,5,-1,-0.14054347826086966,-0.19999999999999996
115,288,44.78,3,55,3,0,-0.18581818181818177,0.0
116,290,25.08,2,30,2,0,-0.16400000000000003,0.0
117,291,30.82,2,47,3,-1,-0.34425531914893615,-0.33333333333333337
118,292,80.14,5,71,4,1,0.1287323943661971,0.25
119,292,80.14,5,84,5,0,-0.04595238095238097,0.0
120,294,17.74,1,17,1,0,0.043529411764705817,0.0
121,295,40.08,3,72,4,-1,-0.44333333333333336,-0.25
122,296,49.24,3,69,4,-1,-0.2863768115942029,-0.25
123,299,45.35,3,44,3,0,0.030681818181818254,0.0
124,300,59.92,3,62,4,-1,-0.03354838709677421,-0.25
125,302,59.12,3,59,3,0,0.0020338983050847137,0.0
126,302,59.12,3,75,4,-1,-0.21173333333333333,-0.25
127,305,72.96,4,70,4,0,0.04228571428571426,0.0
128,307,29.16,2,40,3,-1,-0.271,-0.33333333333333337
129,308,41.51,3,42,3,0,-0.011666666666666714,0.0
130,309,46.54,3,71,4,-1,-0.34450704225352113,-0.25
131,313,67.39,4,77,4,0,-0.12480519480519481,0.0
132,315,40.12,3,18,1,2,1.2288888888888887,2.0
133,316,20.98,2,49,3,-1,-0.5718367346938775,-0.33333333333333337
134,319,20.72,2,39,2,0,-0.4687179487179487,0.0
135,321,78.95,4,78,4,0,0.012179487179487136,0.0
136,322,25.48,2,16,1,1,0.5925,1.0
137,324,30.48,2,44,3,-1,-0.30727272727272725,-0.33333333333333337
138,324,30.48,2,46,3,-1,-0.33739130434782605,-0.33333333333333337
139,325,19.94,1,33,2,-1,-0.39575757575757575,-0.5
140,326,43.67,3,61,4,-1,-0.2840983606557377,-0.25
141,327,56.88,3,61,4,-1,-0.06754098360655736,-0.25
142,327,56.88,3,79,4,-1,-0.2799999999999999,-0.25
143,328,63.62,4,37,2,2,0.7194594594594594,1.0
144,329,45.33,3,32,2,1,0.41656249999999995,0.5
145,330,47.07,3,75,4,-1,-0.37239999999999995,-0.25
146,332,50.92,3,28,2,1,0.8185714285714287,0.5
147,332,50.92,3,25,2,1,1.0368,0.5
148,333,73.94,4,70,4,0,0.05628571428571427,0.0
149,335,42.16,3,22,2,1,0.9163636363636363,0.5
150,335,42.16,3,40,3,0,0.053999999999999826,0.0
151,336,55.27,3,63,4,-1,-0.12269841269841264,-0.25
152,336,55.27,3,87,5,-2,-0.3647126436781609,-0.4
153,338,45.39,3,65,4,-1,-0.3016923076923077,-0.25
154,338,45.39,3,92,5,-2,-0.5066304347826087,-0.4
155,339,59.25,3,51,3,0,0.16176470588235303,0.0
156,344,25.44,2,35,2,0,-0.27314285714285713,0.0
157,347,18.56,1,41,3,-2,-0.5473170731707317,-0.6666666666666667
158,349,59.19,3,60,4,-1,-0.013500000000000068,-0.25
159,360,54.34,3,62,4,-1,-0.12354838709677418,-0.25
160,360,54.34,3,70,4,-1,-0.22371428571428564,-0.25
161,361,36.54,2,27,2,0,0.3533333333333333,0.0
162,362,50.93,3,20,1,2,1.5465,2.0
163,362,50.93,3,71,4,-1,-0.28267605633802817,-0.25
164,363,53.06,3,47,3,0,0.12893617021276604,0.0
165,364,54.37,3,38,2,1,0.4307894736842104,0.5
166,364,54.37,3,47,3,0,0.15680851063829793,0.0
167,365,59.92,3,71,4,-1,-0.15605633802816898,-0.25
168,366,73.58,4,64,4,0,0.14968749999999997,0.0
169,366,73.58,4,87,5,-1,-0.15425287356321837,-0.19999999999999996
170,370,14.26,1,32,2,-1,-0.5543750000000001,-0.5
171,402,99.01,5,99,5,0,0.00010101010101015717,0.0
172,404,32.78,2,21,2,0,0.5609523809523811,0.0
173,404,32.78,2,39,2,0,-0.1594871794871795,0.0
174,405,88.22,5,89,5,0,-0.008764044943820215,0.0
175,407,7.43,1,31,2,-1,-0.7603225806451613,-0.5
176,409,58.29,3,54,3,0,0.07944444444444443,0.0
177,409,58.29,3,62,4,-1,-0.05983870967741933,-0.25
178,413,20.83,2,44,3,-1,-0.5265909090909091,-0.33333333333333337
179,416,21.01,2,26,2,0,-0.19192307692307686,0.0
180,417,5.72,1,2,1,0,1.8599999999999999,0.0
181,420,55.13,3,31,2,1,0.7783870967741937,0.5
182,421,20.45,2,26,2,0,-0.21346153846153848,0.0
183,427,12.33,1,32,2,-1,-0.6146875,-0.5
184,428,53.53,3,61,4,-1,-0.12245901639344259,-0.25
185,433,46.49,3,50,3,0,-0.07019999999999993,0.0
186,435,26.23,2,19,1,1,0.3805263157894736,1.0
187,436,29.57,2,15,1,1,0.9713333333333334,1.0
188,442,58.59,3,52,3,0,0.1267307692307693,0.0
189,442,58.59,3,66,4,-1,-0.11227272727272719,-0.25
190,450,2.85,1,4,1,0,-0.2875,0.0
191,452,4.65,1,5,1,0,-0.06999999999999995,0.0
192,454,15.12,1,15,1,0,0.008000000000000007,0.0
193,454,15.12,1,19,1,0,-0.2042105263157895,0.0
194,455,13.24,1,15,1,0,-0.11733333333333329,0.0
195,456,21.15,2,17,1,1,0.24411764705882355,1.0
196,457,31.67,2,25,2,0,0.26680000000000015,0.0
197,458,85.43,5,87,5,0,-0.01804597701149413,0.0
198,459,10.62,1,13,1,0,-0.18307692307692314,0.0
199,463,74.46,4,72,4,0,0.03416666666666668,0.0
