LEA_Code,LEA_Name,School_Code,School_Name,School_Type,Ward,STAR_Score,STAR_Rating,ObjectId
1,District of Columbia Public Schools,232,Eaton Elementary School,DCPS,3,88.24,5,54
179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,Charter,8,10.07,1,195
129,KIPP DC PCS,237,KIPP DC - Quest Academy PCS,Charter,7,63.08,4,95
1,District of Columbia Public Schools,238,Garfield Elementary School,DCPS,8,32.1,2,58
1,District of Columbia Public Schools,239,Garrison Elementary School,DCPS,2,57.94,3,60
129,KIPP DC PCS,242,KIPP DC - Northeast Academy PCS,Charter,5,49.15,3,93
129,KIPP DC PCS,243,KIPP DC - Valor Academy PCS,Charter,7,55.52,3,155
180,Harmony DC PCS,245,Harmony DC PCS - School of Excellence,Charter,5,55,3,196
1,District of Columbia Public Schools,246,Hardy Middle School,DCPS,2,82.74,5,66
1,District of Columbia Public Schools,247,C.W. Harris Elementary School,DCPS,7,18.59,1,27
181,District of Columbia International School,248,District of Columbia International School,Charter,4,68.27,4,197
1,District of Columbia Public Schools,249,Hendley Elementary School,DCPS,8,27.46,2,72
1,District of Columbia Public Schools,251,Houston Elementary School,DCPS,7,30,2,74
1,District of Columbia Public Schools,252,Hyde-Addison Elementary School @ Meyer,DCPS,2,87.57,5,76
1,District of Columbia Public Schools,254,Janney Elementary School,DCPS,3,88.2,5,80
188,The Children's Guild DC PCS,255,The Children's Guild PCS,Charter (Alternative),5,23.41,2,201
1,District of Columbia Public Schools,257,Ketcham Elementary School,DCPS,8,49,3,97
1,District of Columbia Public Schools,258,Hearst Elementary School,DCPS,3,75.17,4,70
1,District of Columbia Public Schools,259,Kimball Elementary School @ Davis,DCPS,7,27.81,2,99
184,Monument Academy PCS,260,Monument Academy PCS,Charter (Alternative),6,30.31,2,198
1,District of Columbia Public Schools,261,Lafayette Elementary School,DCPS,4,73.92,4,102
1,District of Columbia Public Schools,262,Langdon Elementary School,DCPS,5,72.65,4,103
185,Washington Global PCS,263,Washington Global PCS,Charter,6,34.6,2,199
1,District of Columbia Public Schools,264,LaSalle-Backus Education Campus,DCPS,4,55.23,3,105
1,District of Columbia Public Schools,266,Leckie Education Campus,DCPS,8,33.85,2,107
186,Kingsman Academy PCS,267,Kingsman Academy PCS,Charter (Alternative),6,25.94,2,200
120,Friendship PCS,268,Friendship PCS - Online,Charter,4,57.05,3,67
120,Friendship PCS,269,Friendship PCS - Armstrong,Charter,5,24.08,2,55
149,Two Rivers PCS,270,Two Rivers PCS - Young,Charter,5,44.8,3,168
1,District of Columbia Public Schools,271,Ludlow-Taylor Elementary School,DCPS,6,77.61,4,108
1,District of Columbia Public Schools,272,Key Elementary School,DCPS,3,76.61,4,98
1,District of Columbia Public Schools,273,Mann Elementary School,DCPS,3,87.12,5,112
1,District of Columbia Public Schools,274,Maury Elementary School @ Eliot-Hine,DCPS,6,94.38,5,114
1,District of Columbia Public Schools,280,Miner Elementary School,DCPS,6,45.31,3,117
194,Washington Leadership Academy PCS,283,Washington Leadership Academy PCS,Charter,5,84.93,5,203
1,District of Columbia Public Schools,284,Marie Reed Elementary School,DCPS,1,83.7,5,113
1,District of Columbia Public Schools,285,Moten Elementary School,DCPS,8,13.63,1,118
191,Rocketship DC PCS,286,Rocketship DC PCS - Rise Academy,Charter,8,45.39,3,202
1,District of Columbia Public Schools,287,Murch Elementary School @ UDC,DCPS,3,79.07,4,119
1,District of Columbia Public Schools,288,Nalle Elementary School,DCPS,7,44.78,3,120
1,District of Columbia Public Schools,290,Noyes Elementary School,DCPS,5,25.08,2,121
1,District of Columbia Public Schools,291,Lawrence E. Boone Elementary School,DCPS,8,30.82,2,106
1,District of Columbia Public Schools,292,Oyster-Adams Bilingual School,DCPS,3,80.14,5,122
1,District of Columbia Public Schools,294,Patterson Elementary School,DCPS,8,17.74,1,123
1,District of Columbia Public Schools,295,Payne Elementary School,DCPS,6,40.08,3,124
1,District of Columbia Public Schools,296,Bruce-Monroe Elementary School @ Park View,DCPS,1,49.24,3,19
1,District of Columbia Public Schools,299,Plummer Elementary School,DCPS,7,45.35,3,126
1,District of Columbia Public Schools,300,Powell Elementary School,DCPS,4,59.92,3,127
1,District of Columbia Public Schools,302,Raymond Education Campus,DCPS,4,59.12,3,129
1,District of Columbia Public Schools,305,Ross Elementary School,DCPS,2,72.96,4,133
1,District of Columbia Public Schools,307,Savoy Elementary School,DCPS,8,29.16,2,134
1,District of Columbia Public Schools,308,Malcolm X Elementary School @ Green,DCPS,8,41.51,3,111
1,District of Columbia Public Schools,309,Seaton Elementary School,DCPS,6,46.54,3,138
1,District of Columbia Public Schools,313,Shepherd Elementary School,DCPS,4,67.39,4,139
1,District of Columbia Public Schools,315,Simon Elementary School,DCPS,8,40.12,3,140
1,District of Columbia Public Schools,316,Randle Highlands Elementary School,DCPS,7,20.98,2,128
1,District of Columbia Public Schools,319,Stanton Elementary School,DCPS,8,20.72,2,143
1,District of Columbia Public Schools,321,Stoddert Elementary School,DCPS,3,78.95,4,144
1,District of Columbia Public Schools,322,Smothers Elementary School,DCPS,7,25.48,2,141
1,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,30.48,2,146
1,District of Columbia Public Schools,325,Thomas Elementary School,DCPS,7,19.94,1,147
1,District of Columbia Public Schools,326,Thomson Elementary School,DCPS,2,43.67,3,148
