LEA Code,LEA Name,School Code,School Name,School Type,Ward,School Framework,Framework Weight,Framework Points Earned,Framework Points Possible,Framework STAR Score,Framework STAR Rating
001,District of Columbia Public Schools,420,MacFarland Middle School,DCPS,4,Middle School,100,55.13,100,55.13,3
001,District of Columbia Public Schools,421,Kelly Miller Middle School,DCPS,7,Middle School,100,19.43,95,20.45,2
001,District of Columbia Public Schools,427,Sousa Middle School,DCPS,7,Middle School,100,11.72,95,12.33,1
001,District of Columbia Public Schools,428,Stuart-Hobson Middle School (Capitol Hill Cluster),DCPS,6,Middle School,100,50.85,95,53.53,3
001,District of Columbia Public Schools,433,Jefferson Middle School Academy,DCPS,6,Middle School,100,44.16,95,46.49,3
001,District of Columbia Public Schools,435,McKinley Middle School,DCPS,5,Middle School,100,24.92,95,26.23,2
001,District of Columbia Public Schools,436,Ron Brown College Preparatory High School,DCPS,7,High School,100,25.14,85,29.57,2
001,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,High School,62.42,55.78,100,55.78,3
001,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,Middle School,37.58,63.26,100,63.26,4
001,District of Columbia Public Schools,450,Anacostia High School,DCPS,8,High School,100,2.71,95,2.85,1
001,District of Columbia Public Schools,452,Ballou High School,DCPS,8,High School,100,4.41,95,4.65,1
001,District of Columbia Public Schools,454,Cardozo Education Campus,DCPS,1,High School,71.07,17.44,100,17.44,1
001,District of Columbia Public Schools,454,Cardozo Education Campus,DCPS,1,Middle School,28.93,9.43,100,9.43,1
001,District of Columbia Public Schools,455,Coolidge High School,DCPS,4,High School,100,13.24,100,13.24,1
001,District of Columbia Public Schools,456,Roosevelt STAY High School,DCPS (Alternative),4,Alternative Framework,100,16.13,76.28,21.15,2
001,District of Columbia Public Schools,457,Eastern High School,DCPS,6,High School,100,30.08,95,31.67,2
001,District of Columbia Public Schools,458,McKinley Technology High School,DCPS,5,High School,100,72.62,85,85.43,5
001,District of Columbia Public Schools,459,Roosevelt High School,DCPS,4,High School,100,10.62,100,10.62,1
001,District of Columbia Public Schools,463,Woodrow Wilson High School,DCPS,3,High School,100,74.46,100,74.46,4
001,District of Columbia Public Schools,464,H.D. Woodson High School,DCPS,7,High School,100,23.32,95,24.54,2
001,District of Columbia Public Schools,466,School Without Walls High School,DCPS,2,High School,100,83.78,85,98.56,5
001,District of Columbia Public Schools,467,Dunbar High School,DCPS,5,High School,100,25.24,95,26.57,2
001,District of Columbia Public Schools,471,Duke Ellington School of the Arts,DCPS,2,High School,100,69.03,95,72.66,4
001,District of Columbia Public Schools,474,Washington Metropolitan High School,DCPS (Alternative),1,Alternative Framework,100,16.17,64.98,24.88,2
001,District of Columbia Public Schools,478,"Phelps Architecture, Construction and Engineering High School",DCPS,5,High School,100,38,85,44.7,3
001,District of Columbia Public Schools,884,Luke C. Moore High School,DCPS (Alternative),5,Alternative Framework,100,22.27,75.03,29.69,2
107,Bridges PCS,142,Bridges PCS,Charter,5,Elementary School with Pre-Kindergarten,100,30.05,100,30.05,2
108,Capital City PCS,1207,Capital City PCS - High School,Charter,4,High School,100,61.74,100,61.74,4
108,Capital City PCS,182,Capital City PCS - Middle School,Charter,4,Middle School,100,53.85,100,53.85,3
108,Capital City PCS,184,Capital City PCS - Lower School,Charter,4,Elementary School with Pre-Kindergarten,100,52.32,100,52.32,3
109,Cesar Chavez PCS for Public Policy,102,Cesar Chavez PCS for Public Policy - Parkside Middle School,Charter,7,Middle School,100,33.85,95,35.63,2
109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez PCS for Public Policy - Parkside High School,Charter,7,High School,100,45.29,95,47.68,3
